Tube N°;Date;Location;length (mm);weight(mg);pigmentation stage;condition factor;Food visible;remarks;;;;;;;;;;;;
180;28/04/2017;VA_PG_RO_PA;68;256;VIA4;0,81;F;;;;;;;;;;;;;
181;28/04/2017;VA_PG_LO_PA;66;259;VIB;0,90;F;Anders gelabeld op buis: _SU;;;;;;;;;;;;
182;28/04/2017;VA_PG_LO_PA;65;285;VIB;1,04;F;;;;;;;;;;;;;
183;28/04/2017;VA_PG_LO_PA;66;265;VIB;0,92;F;;;;;;;;;;;;;
184;28/04/2017;VA_PG_LO_PA;73;360;VIB;0,93;F;;;;;;;;;;;;;
185;28/04/2017;VA_PG_LO_PA;72;335;VIB;0,90;F;;;;;;;;;;;;;
186;28/04/2017;VA_PG_RO_SU;73;308;VIB;0,79;F;;;;;;;;;;;;;
187;28/04/2017;VA_PG_RO_SU;68;290;VIB;0,92;F;;;;;;;;;;;;;
188;28/04/2017;VA_PG_RO_SU;67;209;VIB;0,69;F;;;;;;;;;;;;;
189;28/04/2017;VA_PG_RO_SU;69;348;VIA4;1,06;F;;;;;;;;;;;;;
190;28/04/2017;VA_PG_RO_SU;64;307;VIA4;1,17;F;;;;;;;;;;;;;
191;28/04/2017;VA_PG_LO_SU;64;253;VIB;0,97;F;;;;;;;;;;;;;
192;28/04/2017;VA_PG_LO_SU;62;235;VIB;0,99;F;;;;;;;;;;;;;
193;28/04/2017;VA_PG_LO_SU;65;195;VIA3;0,71;F-;;;;;;;;;;;;;
194;28/04/2017;VA_PG_LO_SU;66;278;VIA4;0,97;F;Silvered body cavity;;;;;;;;;;;;
195;28/04/2017;VA_PG_LO_SU;70;354;VII;1,03;F;;;;;;;;;;;;;
196;5/05/2017;VA_PG_LO_PA;64;230;VIB;0,88;F;;;;;;;;;;;;;
197;5/05/2017;VA_PG_LO_PA;68;248;VIB;0,79;F;;;;;;;;;;;;;
198;5/05/2017;VA_PG_LO_PA;71;284;VIB;0,79;F;;;;;;;;;;;;;
199;5/05/2017;VA_PG_LO_PA;64;253;VIA4;0,97;F;;;;;;;;;;;;;
200;5/05/2017;VA_PG_LO_PA;62;207;VIA4;0,87;F;;;;;;;;;;;;;
201;5/05/2017;VA_PG_RO_PA;73;300;VIA4;0,77;F;;;;;;;;;;;;;
202;5/05/2017;VA_PG_RO_PA;68;275;VII;0,87;F;;;;;;;;;;;;;
203;5/05/2017;VA_PG_RO_PA;68;257;VII;0,82;F;;;;;;;;;;;;;
204;5/05/2017;VA_PG_RO_PA;73;361;VIB;0,93;F;;;;;;;;;;;;;
205;5/05/2017;VA_PG_RO_PA;72;318;VIB;0,85;F;;;;;;;;;;;;;
206;5/05/2017;VA_SC_RO_SU;68;315;VIB;1,00;F;;;;;;;;;;;;;
207;5/05/2017;VA_SC_RO_SU;62;232;VIA4;0,97;F;;;;;;;;;;;;;
208;5/05/2017;VA_SC_RO_SU;62;246;VIB;1,03;F;;;;;;;;;;;;;
209;5/05/2017;VA_SC_RO_SU;63;249;VII;1,00;F;;;;;;;;;;;;;
210;5/05/2017;VA_SC_RO_SU;68;259;VIA4;0,82;F;Silvered body cavity;;;;;;;;;;;;
211;5/05/2017;VA_MI_RO_SU;65;229;VII;0,83;F;;;;;;;;;;;;;
212;5/05/2017;VA_MI_RO_SU;68;284;VII;0,90;F;;;;;;;;;;;;;
213;5/05/2017;VA_MI_RO_SU;60;207;VIB;0,96;F;;;;;;;;;;;;;
214;5/05/2017;VA_MI_RO_SU;72;330;VII;0,88;F;;;;;;;;;;;;;
215;5/05/2017;VA_MI_RO_SU;68;303;VIB;0,96;F;;;;;;;;;;;;;
216;12/05/2017;VA_PG_RO_PA;68;250;VIA4;0,80;F;;;;;;;;;;;;;
217;12/05/2017;VA_PG_RO_PA;64;220;VIB;0,84;F;;;;;;;;;;;;;
218;12/05/2017;VA_PG_RO_PA;65;267;VIB;0,97;F;;;;;;;;;;;;;
219;12/05/2017;VA_PG_RO_PA;68;291;VII;0,93;F;;;;;;;;;;;;;
220;12/05/2017;VA_PG_RO_PA;77;417;VIB;0,91;F;;;;;;;;;;;;;
221;12/05/2017;VA_SC_RO_SU;65;335;VIB;1,22;F;;;;;;;;;;;;;
222;12/05/2017;VA_SC_RO_SU;67;357;VII;1,19;F;;;;;;;;;;;;;
