nr;datum;Locatie;Locatie_A;Locatie_Oever;Methode;;;Microplastics/Contaminatie/vezels (katoen?);Cladocera sp.;Annelida;Polychaete;Isopoda;Diptera sp.;Chironomida sp.;Crustaceae sp.;Cyclopoida sp.;Unidentified sp.;Amphipoda sp.;Calanoida sp.;Copepoda sp.;Harpacticoid Copepod;Hexapode sp. ();keverlarve;Pennate diatomee;Plantae sp.;Empty
155;21/04/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;2;7;0;0;0;0;0;0;0;0;0;0
156;21/04/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;1;0;1;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0
157;21/04/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0;0;0
158;21/04/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0
159;21/04/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
160;21/04/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
161;11/04/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
162;21/04/2017;GA-SU;Ganzepoot;midden;Substraat;;;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
163;21/04/2017;GA-SU;Ganzepoot;midden;Substraat;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
164;21/04/2017;GA-SU;Ganzepoot;midden;Substraat;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
165;21/04/2017;GA-SU;Ganzepoot;midden;Substraat;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
166;21/04/2017;GA-SU;Ganzepoot;midden;Substraat;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
167;21/04/2017;MI-RO-SU;Midden VA;RO;Substraat;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
168;21/04/2017;MI-RO-SU;Midden VA;RO;Substraat;;;1;0;0;2;0;0;0;0;5;0;0;0;4;1;0;0;0;0;0
169;21/04/2017;MI-RO-SU;Midden VA;RO;Substraat;;;0;0;0;1;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0
